URUT,R101,R102,R105,FOOD,NONFOOD,EXPEND,KAPITA,KALORI_KAP,PROTE_KAP,LEMAK_KAP,KARBO_KAP,R1802,R1810A,R2001B,R2001C,R2001D,R2001F,R2001G,R2001H,R2001K,R2001M,Banyak_Anak
517334,32,76,1,9407142.857142853,17191833.33333333,26598976.19047618,5319795.238095236,1843.997020408163,71.05470408163269,56.75028163265307,220.6909571428571,2,2,1,1,5,1,5,1,1,5,2
517336,32,76,1,1992642.857142856,3654866.666666666,5647509.523809523,1129501.904761904,1520.698395918367,49.76475102040815,35.85967959183673,204.1727999999999,1,4,1,5,5,1,5,1,5,1,2
517337,32,76,1,2585571.428571429,5901916.666666666,8487488.095238097,2121872.023809524,1861.837102040816,51.86355612244898,47.47033673469388,258.0963928571428,1,4,1,5,5,1,1,1,5,1,1
517358,32,76,1,7817142.857142857,35317500,43134642.85714285,14378214.28571428,2734.318946,106.5170272108843,65.24871088435374,284.5116666666666,1,2,1,1,5,1,5,1,1,1,1
517394,32,76,1,3675857.142857142,4879916.666666666,8555773.81,2138943.452380952,1385.983928571428,38.68132142857141,38.10432142857143,172.0900357142856,1,2,1,1,5,1,5,1,5,1,2
517420,32,76,1,5886428.571428569,3689833.333333333,9576261.905,1596043.651,2983.317312925169,91.40318878,105.3778350340136,361.4830119047619,1,4,1,5,5,5,5,1,5,1,4
517433,32,76,1,3408857.142857142,3929416.666666666,7338273.809523808,1834568.452380952,2111.062525510204,65.67877295918368,54.25960204081631,288.8194821428571,1,4,1,5,5,5,5,1,5,1,2
517442,32,76,1,2298857.142857142,2915999.999999999,5214857.142857141,1303714.285714285,1693.387436,50.53717653061225,56.29848418367345,226.1254035714285,1,2,1,5,5,1,5,1,5,1,2
517466,32,76,1,4384714.285714285,3705916.666666665,8090630.952,1155804.421768707,1855.774941690962,55.10092711370263,53.98321574344022,255.0988469387754,1,2,1,5,5,5,5,1,5,1,2
517475,32,76,1,3927857.143,4917083.333,8844940.476,1768988.095238093,2082.661571428571,70.3962,61.02751428571428,248.5249714285714,1,4,1,5,5,5,5,1,5,1,3
517495,32,76,1,3534857.142857144,3978833.333333333,7513690.476190477,7513690.476190477,3703.408857142857,119.5162285714285,85.14705714285712,413.216,2,2,1,5,5,5,5,5,5,5,0
517497,32,76,1,2595565.714285714,4861500,7457065.714285715,2485688.571428571,2165.702857142856,52.70583333333332,32.71780952380952,346.6030476190476,2,4,5,5,5,5,5,1,5,5,1
517630,32,76,1,4470428.571,3288500,7758928.571,1939732.142857142,2144.367857142857,62.24210714285713,49.39346428571429,313.3335714285714,2,4,1,5,5,5,5,1,5,5,3
517714,32,76,1,2337428.571428571,4891250.000000001,7228678.571428572,3614339.285714286,2229.768265306122,69.59536734693879,44.43756122448978,273.0427857142856,1,2,1,5,5,5,5,5,5,1,0
517717,32,76,1,9876428.571428567,21530499.99999999,31406928.57142855,10468976.19047618,2547.257023809523,83.38821768707484,75.56051360544218,327.1865000000001,1,1,1,1,5,1,1,1,1,1,1
517750,32,76,1,4761149.999999998,12035833.33333333,16796983.33333333,4199245.833333333,2000.320408163265,62.27183163265305,39.68748979591835,295.1824821428572,1,3,1,1,5,1,1,1,1,1,2
517754,32,76,1,3673714.285714284,1684250,5357964.285714284,1071592.857142856,1831.907387755101,67.40905510204081,51.98221836734692,214.9490285714285,2,2,1,5,5,5,5,1,5,5,2
517773,32,76,1,5293885.714285714,3448533.333333333,8742419.047619049,4371209.523809524,3792.296607142856,93.37446428571432,186.6564642857142,381.4705357142858,2,2,1,5,5,5,5,1,5,5,0
517775,32,76,1,2479285.714285714,2110500,4589785.714285714,764964.2857142857,1390.459464285714,42.70303571428571,36.18140476190475,213.8524285714285,2,2,5,5,5,5,5,1,5,5,4
517783,32,76,1,10522714.28571428,11924916.66666666,22447630.95238095,4489526.190476191,2028.270214285713,78.44564285714281,48.11129999999998,284.4265571428571,3,4,1,1,1,1,1,1,1,5,2
517787,32,76,1,9642737.142857144,20727250,30369987.14285714,7592496.785714287,1761.851875,47.67526785714286,83.27089285714285,238.6899107142857,1,1,1,1,5,1,1,5,1,1,2
517788,32,76,1,2433000,4213583.333333333,6646583.333333333,1661645.833333333,2425.308775510203,66.71238010204083,67.53219132653062,298.8626071428571,3,4,1,5,5,1,5,1,5,5,1
517812,32,76,1,17854285.71,37101150,54955435.71,6869429.464285713,2709.282548469388,84.23621862244897,75.55044923469384,369.5005553571427,1,1,1,1,1,1,1,1,1,1,4
